titles,counts
Févin. Missa Ave Maria (Sanctus),9
Sermisy. Quare fremuerunt gentes,73
Benedicta escælorum Regina,46
Willaert. Missa Mente tota (Kyrie),5
Lupi. Vidi speciosam sicut columbam,84
Palestrina. Missa Veni sponsa Christi (Credo),48
Févin. Missa Mente tota (Sanctus),31
Cadéac. Je suis déshéritée,438
Sermisy Claudin de : Sermisy. Missa Tota pulchra es (Kyrie),12
Champion. O gente brunette,143
Gombert. Missa Je suis déshéritée (Kyrie),51
Palestrina. Missa Benedicta es (Sanctus),16
Lassus Roland de : Lassus. Missa Susanne un jour (Gloria),8
Févin. Missa Ave Maria (Agnus),7
Daulphin. Missa Je n’en puis plus durer (Sanctus),19
Willaert. Missa Mente tota (Gloria),7
Févin. Missa Mente tota (Agnus),29
Willaert. Missa Mente tota (Agnus),7
Sermisy. Missa Quare fremuerunt gentes (Credo),15
Sermisy. Missa Quare fremuerunt gentes (Sanctus),6
Josquin. Benedicta es,221
Willaert. Missa Mente tota (Credo),5
Josquin Des Prés : Josquin. Baises moy,38
Morales. Missa Benedicta es (Agnus),28
Palestrina. Missa Benedicta es (Agnus),9
Palestrina. Missa Veni sponsa Christi (Kyrie),28
Sohier. Missa Vidi speciosam (Credo),29
Manchicourt. Missa Quo abiit dilectus tuus (Gloria),75
Morales. Missa Benedicta es (Gloria),28
Sohier. Missa Vidi speciosam (Agnus),6
Sermisy Claudin de: Sermisy. Tota pulchra es,147
Manchicourt. Missa Quo abiit dilectus tuus (Kyrie),48
Morales. Missa Benedicta es (Sanctus),25
Sohier. Missa Vidi speciosam (Kyrie),18
Sohier. Missa Vidi speciosam (Sanctus),8
Sermisy Claudin de : Sermisy. Missa Tota pulchra es (Credo),91
Lassus Roland de : Lassus. Missa Susanne un jour (Credo),13
Forestier Mathurin: Forestier. Missa Baisés moy ma doulce amye (Sanctus),12
Marle. Missa O gente brunette (Agnus),18
Manchicourt. Missa Quo abiit dilectus tuus (Sanctus),56
Févin. Missa Mente tota (Credo),106
Sermisy. Missa Quare fremuerunt gentes (Gloria),25
Sandrin.  Voulant honneur,65
Marle. Missa O gente brunette (Kyrie),25
Palestrina. Missa Benedicta es (Kyrie),13
Benedicta es,99
Morales. Missa Benedicta es (Kyrie),19
Marle. Missa O gente brunette (Credo),41
Guyon. Missa Je suis déshéritée (Kyrie),29
Marle. Missa O gente brunette (Sanctus),30
Sermisy. Missa Voulant honneur (Agnus),6
Daulphin. Missa Je n’en puis plus durer (Gloria),35
Sermisy. Missa Voulant honneur (Sanctus),11
Daulphin. Missa Je n’en puis plus durer (Credo),47
Sermisy Claudin de : Sermisy. Missa Tota pulchra es (Gloria),22
Févin. Missa Mente tota (Gloria),52
Marle. Missa O gente brunette (Gloria),28
Josquin. Mente Tota,270
Anonymus. Graduale triplex - Kyrie,12
Lassus Roland de : Lassus. Missa Susanne un jour (Kyrie),19
Manchicourt. Missa Quo abiit dilectus tuus (Credo),86
Sermisy Claudin de : Sermisy. Missa Tota pulchra es (Sanctus),12
Lupi Didier: Lupi. Susanne un jour,11
Palestrina. Missa Veni sponsa Christi (Agnus),23
Forestier Mathurin: Forestier. Missa Baisés moy ma doulce amye (Kyrie),9
Palestrina. Missa Veni sponsa Christi (Sanctus),42
Sermisy. Missa Voulant honneur (Gloria),16
Févin. Missa Ave Maria (Gloria),39
Sermisy. Missa Quare fremuerunt gentes (Kyrie),27
Palestrina. Missa Veni sponsa Christi (Gloria),58
Forestier Mathurin: Forestier. Missa Baisés moy ma doulce amye (Credo),6
Lassus Roland de : Lassus. Susanne un jour,57
Passereau. Je n’en puis plus durer,121
Sermisy. Missa Voulant honneur (Kyrie),7
Manchicourt. Missa Quo abiit dilectus tuus (Agnus),51
Févin. Missa Ave Maria (Kyrie),15
Gombert. Missa Je suis déshéritée (Sanctus),75
Manchicourt. Quo abiit dilectus tuus,316
Gombert. Missa Je suis déshéritée (Credo),129
Morales. Missa Benedicta es (Credo),61
Gombert. Missa Je suis déshéritée (Gloria),89
Palestrina. Missa Benedicta es (Gloria),52
Sermisy. Missa Voulant honneur (Credo),25
Lassus Roland de : Lassus. Missa Susanne un jour (Sanctus),7
Forestier Mathurin: Forestier. Missa Baisés moy ma doulce amye (Agnus),5
Févin. Missa Ave Maria (Credo),26
Willaert. Missa Mente tota (Sanctus),3
Lassus Roland de : Lassus. Missa Susanne un jour (Agnus),3
Gombert. Missa Je suis déshéritée (Agnus),55
Clereau. Missa Virginis Mariae (Kyrie),11
Févin. Missa Mente tota (Kyrie),27
Josquin. Ave Maria,84
Forestier Mathurin: Forestier. Missa Baisés moy ma doulce amye (Gloria),2
Daulphin. Missa Je n’en puis plus durer (Agnus),8
Pieton Loyset: Benedicta es coelorum regina,34
Guyon. Missa Je suis déshéritée (Gloria),11
Daulphin. Missa Je n’en puis plus durer (Kyrie),12
Palestrina. Veni sponsa Christi,200
Sermisy Claudin de : Sermisy. Missa Tota pulchra es (Agnus),11
Sohier. Missa Vidi speciosam (Gloria),15
Palestrina. Missa Benedicta es (Credo),37
